# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.module.iml.entities.serializer.save.entities.ms,1751140191288000000,1751140251288000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1751140191288000000,1751140251288000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1751140191288000000,1751140251288000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1751140191288000000,1751140251288000000,0
workspaceModel.save.cache.to.file.ms,1751140191288000000,1751140251288000000,0
jps.modifiable.module.model.bridge.renaming.ms,1751140191288000000,1751140251288000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1751140191288000000,1751140251288000000,0
workspaceModel.global.updates.count,1751140191288000000,1751140251288000000,0
jps.artifact.entities.serializer.save.entities.ms,1751140191288000000,1751140251288000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1751140191288000000,1751140251288000000,0
workspaceModel.orphan.listener.update.ms,1751140191288000000,1751140251288000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1751140191288000000,1751140251288000000,0
workspaceModel.moduleBridge.update.option.ms,1751140191288000000,1751140251288000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1751140191288000000,1751140251288000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1751140191288000000,1751140251288000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1751140191288000000,1751140251288000000,0
jps.global.handle.changed.events.ms,1751140191288000000,1751140251288000000,0
VFS.contentStorage.recordsStoredCompressed,1751140191288000000,1751140251288000000,0
FileNameCache.totalMisses,1751140191288000000,1751140251288000000,0
VFS.contentStorage.recordsStoredSize,1751140191288000000,1751140251288000000,0
VFS.fileByIdCache.misses,1751140191288000000,1751140251288000000,0
VFS.contentStorage.recordsReadDecompressed,1751140191288000000,1751140251288000000,0
VFS.fileByIdCache.hits,1751140191288000000,1751140251288000000,0
VFS.contentStorage.recordsRead,1751140191288000000,1751140251288000000,0
FileNameCache.queries,1751140191288000000,1751140251288000000,0
VFS.fileChildByName,1751140191288000000,1751140251288000000,0
VFS.contentStorage.recordsDeduplicated,1751140191288000000,1751140251288000000,0
VFS.contentStorage.recordsUncompressedSize,1751140191288000000,1751140251288000000,0
VFS.invertedFileNameIndex.requests,1751140191288000000,1751140251288000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1751140191288000000,1751140251288000000,0
VFS.contentStorage.recordsStored,1751140191288000000,1751140251288000000,0
VFS.contentStorage.recordsReadSize,1751140191288000000,1751140251288000000,0
writeAction.max.wait.ms,1751140191288000000,1751140251288000000,5247
DiskQueryRelay.tasksExecuted,1751140191288000000,1751140251288000000,0
writeAction.median.wait.ms,1751140191288000000,1751140251288000000,17900
writeAction.count,1751140191288000000,1751140251288000000,0
DiskQueryRelay.tasksRequested,1751140191288000000,1751140251288000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1751140191288000000,1751140251288000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1751140191288000000,1751140251288000000,0
writeAction.wait.ms,1751140191288000000,1751140251288000000,0
FilePageCache.pageHits,1751140191288000000,1751140251288000000,0
StorageLockContext.competingThreads.avg,1751140191288000000,1751140251288000000,0.0
DirectByteBufferAllocator.hits,1751140191288000000,1751140251288000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1751140191288000000,1751140251288000000,0
FilePageCache.maxCacheSizeInBytes,1751140191288000000,1751140251288000000,629153792
FilePageCache.uncachedFileAccess,1751140191288000000,1751140251288000000,0
FilePageCache.totalPageLoadsUs,1751140191288000000,1751140251288000000,0
FilePageCache.totalPageDisposalsUs,1751140191288000000,1751140251288000000,0
StorageLockContext.competingThreads.90P,1751140191288000000,1751140251288000000,0
MappedFileStorage.storages,1751140191288000000,1751140251288000000,17
StreamlinedBlobStorage.recordsRelocated,1751140191288000000,1751140251288000000,0
